title,author,isbn,copies
"Simple Twist of Fate, A",Marrilee Widmore,560835600-4,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3369,""status"":""Available""},{""copyNumber"":6862,""status"":""Available""},{""copyNumber"":6688,""status"":""Borrowed""},{""copyNumber"":7316,""status"":""Available""},{""copyNumber"":7832,""status"":""Available""}]}]"
Babel,Nertie Miroy,401581468-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6017,""status"":""Borrowed""},{""copyNumber"":8912,""status"":""Borrowed""},{""copyNumber"":1837,""status"":""Available""},{""copyNumber"":6474,""status"":""Available""},{""copyNumber"":2246,""status"":""Borrowed""},{""copyNumber"":8820,""status"":""Available""}]}]"
"Amityville Horror, The",Archibald Beswell,394051827-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8666,""status"":""Available""},{""copyNumber"":3404,""status"":""Borrowed""},{""copyNumber"":9392,""status"":""Available""},{""copyNumber"":6618,""status"":""Available""},{""copyNumber"":2823,""status"":""Available""},{""copyNumber"":3745,""status"":""Available""}]}]"
...And God Spoke,Celine Stapels,551496310-1,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1921,""status"":""Borrowed""},{""copyNumber"":4667,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9124,""status"":""Available""},{""copyNumber"":3515,""status"":""Borrowed""},{""copyNumber"":8340,""status"":""Borrowed""},{""copyNumber"":3863,""status"":""Available""},{""copyNumber"":8273,""status"":""Available""},{""copyNumber"":7438,""status"":""Borrowed""}]}]"
Made in Hong Kong (Xiang Gang zhi zao),Barry Dallin,541735951-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7018,""status"":""Borrowed""},{""copyNumber"":6960,""status"":""Borrowed""},{""copyNumber"":2216,""status"":""Borrowed""},{""copyNumber"":7060,""status"":""Available""},{""copyNumber"":5658,""status"":""Available""},{""copyNumber"":3142,""status"":""Borrowed""}]}]"
"Tigger Movie, The",Caresa Riordan,404569225-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7801,""status"":""Borrowed""},{""copyNumber"":7937,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4127,""status"":""Available""}]}]"
"Ultimate Warrior, The",Carolus Ericssen,782655345-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2563,""status"":""Available""},{""copyNumber"":3011,""status"":""Available""},{""copyNumber"":5175,""status"":""Borrowed""},{""copyNumber"":2828,""status"":""Borrowed""},{""copyNumber"":3932,""status"":""Available""},{""copyNumber"":2908,""status"":""Borrowed""}]}]"
Dirty,Lucine Kilshaw,059096562-X,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7715,""status"":""Available""},{""copyNumber"":6366,""status"":""Available""},{""copyNumber"":1034,""status"":""Available""},{""copyNumber"":1531,""status"":""Available""},{""copyNumber"":5320,""status"":""Available""},{""copyNumber"":5063,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9992,""status"":""Borrowed""},{""copyNumber"":2180,""status"":""Available""},{""copyNumber"":5476,""status"":""Borrowed""},{""copyNumber"":5137,""status"":""Available""},{""copyNumber"":1904,""status"":""Borrowed""}]}]"
"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The)",Kimball Boother,186643168-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2570,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9966,""status"":""Borrowed""},{""copyNumber"":1619,""status"":""Borrowed""},{""copyNumber"":7875,""status"":""Available""},{""copyNumber"":1739,""status"":""Available""},{""copyNumber"":7904,""status"":""Available""}]}]"
K-911,Donica Heibel,519794844-2,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7437,""status"":""Available""},{""copyNumber"":9154,""status"":""Available""},{""copyNumber"":2641,""status"":""Borrowed""},{""copyNumber"":7774,""status"":""Borrowed""},{""copyNumber"":6800,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7132,""status"":""Borrowed""}]}]"
"Break-Up, The",Opalina Keating,918676017-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6037,""status"":""Available""},{""copyNumber"":1052,""status"":""Borrowed""},{""copyNumber"":2348,""status"":""Available""}]}]"
"Cutting Edge: The Magic of Movie Editing, The",Angelia Wynrahame,753414352-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5147,""status"":""Available""},{""copyNumber"":8345,""status"":""Available""},{""copyNumber"":2143,""status"":""Borrowed""},{""copyNumber"":7590,""status"":""Available""},{""copyNumber"":6933,""status"":""Available""}]}]"
Hot Fuzz,Karia Foord,288270536-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1995,""status"":""Available""},{""copyNumber"":3463,""status"":""Available""},{""copyNumber"":6641,""status"":""Borrowed""},{""copyNumber"":9271,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1821,""status"":""Borrowed""},{""copyNumber"":4190,""status"":""Available""},{""copyNumber"":2864,""status"":""Borrowed""},{""copyNumber"":2097,""status"":""Available""},{""copyNumber"":3206,""status"":""Borrowed""},{""copyNumber"":4498,""status"":""Borrowed""}]}]"
Outrageous Class (Hababam sinifi),Bjorn Brunelli,065390644-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8610,""status"":""Borrowed""},{""copyNumber"":8248,""status"":""Borrowed""},{""copyNumber"":4467,""status"":""Borrowed""}]}]"
Vampyr,Emelita Waby,693623498-4,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3829,""status"":""Available""},{""copyNumber"":5250,""status"":""Available""}]}]"
Dawn of the Dead,Vi Firman,721189239-0,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7516,""status"":""Borrowed""},{""copyNumber"":9584,""status"":""Borrowed""},{""copyNumber"":3326,""status"":""Available""},{""copyNumber"":9825,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5613,""status"":""Available""},{""copyNumber"":1720,""status"":""Available""},{""copyNumber"":4011,""status"":""Available""},{""copyNumber"":8310,""status"":""Borrowed""},{""copyNumber"":7392,""status"":""Borrowed""},{""copyNumber"":7897,""status"":""Available""}]}]"
Desirée,Andra Shemwell,291081397-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3538,""status"":""Borrowed""},{""copyNumber"":6259,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9293,""status"":""Available""},{""copyNumber"":6829,""status"":""Available""},{""copyNumber"":1986,""status"":""Available""}]}]"
"Race for Your Life, Charlie Brown",Gerrie Melling,193046785-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8114,""status"":""Available""}]}]"
Confessions of a Window Cleaner,Lacee Bedle,233564547-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7356,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8159,""status"":""Borrowed""},{""copyNumber"":9400,""status"":""Available""},{""copyNumber"":5635,""status"":""Borrowed""},{""copyNumber"":7339,""status"":""Borrowed""}]}]"
Leprechaun in the Hood,Judas Kubat,114303373-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4440,""status"":""Borrowed""},{""copyNumber"":8118,""status"":""Available""},{""copyNumber"":5695,""status"":""Available""}]}]"
"Cheshire Murders, The",Amalle Bolton,279207827-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6929,""status"":""Available""},{""copyNumber"":4602,""status"":""Borrowed""},{""copyNumber"":1060,""status"":""Borrowed""},{""copyNumber"":5402,""status"":""Borrowed""},{""copyNumber"":1458,""status"":""Available""}]}]"
Air Force One,Ludovico Delafont,412516384-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2947,""status"":""Available""},{""copyNumber"":7397,""status"":""Borrowed""},{""copyNumber"":5789,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5651,""status"":""Borrowed""}]}]"
Avatar,Dody Burle,827058887-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8448,""status"":""Available""},{""copyNumber"":3652,""status"":""Borrowed""},{""copyNumber"":4337,""status"":""Borrowed""},{""copyNumber"":4364,""status"":""Available""}]}]"
Scott Joplin,Rene Floodgate,515518821-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8766,""status"":""Available""},{""copyNumber"":3510,""status"":""Borrowed""},{""copyNumber"":8873,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6250,""status"":""Borrowed""},{""copyNumber"":7387,""status"":""Available""},{""copyNumber"":8650,""status"":""Available""},{""copyNumber"":8230,""status"":""Available""},{""copyNumber"":3497,""status"":""Available""}]}]"
Moordwijven,Rosemary Pursey,116042505-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1134,""status"":""Borrowed""}]}]"
Happy End,Birgitta Shimoni,461586287-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3164,""status"":""Borrowed""},{""copyNumber"":4481,""status"":""Available""},{""copyNumber"":6945,""status"":""Available""},{""copyNumber"":8350,""status"":""Available""},{""copyNumber"":6669,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1086,""status"":""Borrowed""},{""copyNumber"":4332,""status"":""Borrowed""},{""copyNumber"":4717,""status"":""Borrowed""},{""copyNumber"":9462,""status"":""Available""},{""copyNumber"":3309,""status"":""Available""},{""copyNumber"":7089,""status"":""Available""}]}]"
"Wild Hunt, The",Bekki Conibeer,383429452-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5315,""status"":""Borrowed""},{""copyNumber"":4660,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5335,""status"":""Available""}]}]"
Christmas Evil (a.k.a. You Better Watch Out),Timothea Edger,914438429-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9868,""status"":""Borrowed""},{""copyNumber"":8006,""status"":""Borrowed""},{""copyNumber"":1871,""status"":""Borrowed""},{""copyNumber"":1856,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1728,""status"":""Borrowed""},{""copyNumber"":5849,""status"":""Available""},{""copyNumber"":2594,""status"":""Available""},{""copyNumber"":1495,""status"":""Available""}]}]"
Phat Girlz,Bo Trevaskiss,087132419-9,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7001,""status"":""Available""},{""copyNumber"":5829,""status"":""Available""},{""copyNumber"":4111,""status"":""Available""},{""copyNumber"":4565,""status"":""Borrowed""},{""copyNumber"":5833,""status"":""Borrowed""},{""copyNumber"":8234,""status"":""Available""}]}]"
"Collection, The",Vasili Sicely,104194858-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3023,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9111,""status"":""Borrowed""},{""copyNumber"":8674,""status"":""Borrowed""},{""copyNumber"":4307,""status"":""Borrowed""},{""copyNumber"":8105,""status"":""Available""},{""copyNumber"":9936,""status"":""Borrowed""},{""copyNumber"":6493,""status"":""Borrowed""}]}]"
Prime,Siward Copozio,947797011-5,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5069,""status"":""Available""},{""copyNumber"":3149,""status"":""Available""},{""copyNumber"":8834,""status"":""Borrowed""},{""copyNumber"":2291,""status"":""Borrowed""},{""copyNumber"":5382,""status"":""Borrowed""},{""copyNumber"":3174,""status"":""Available""}]}]"
Gorilla at Large,Berny Thorneywork,496337459-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8674,""status"":""Borrowed""}]}]"
Broken Embraces (Los abrazos rotos),Diann MacDearmaid,565233618-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1362,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9646,""status"":""Borrowed""},{""copyNumber"":3162,""status"":""Borrowed""},{""copyNumber"":4137,""status"":""Available""},{""copyNumber"":3562,""status"":""Available""},{""copyNumber"":1416,""status"":""Available""},{""copyNumber"":3277,""status"":""Available""}]}]"
Saturn 3,Cortie Nijssen,300080740-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1083,""status"":""Borrowed""},{""copyNumber"":5418,""status"":""Borrowed""},{""copyNumber"":5172,""status"":""Borrowed""},{""copyNumber"":1568,""status"":""Available""}]}]"
Division III: Football's Finest,Urbain Hacking,352439926-6,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3927,""status"":""Available""},{""copyNumber"":1846,""status"":""Available""},{""copyNumber"":9239,""status"":""Available""},{""copyNumber"":7542,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9053,""status"":""Available""},{""copyNumber"":1982,""status"":""Available""},{""copyNumber"":6169,""status"":""Available""},{""copyNumber"":4360,""status"":""Available""}]}]"
Children Shouldn't Play with Dead Things,Nolana Beaton,169163678-9,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9958,""status"":""Available""},{""copyNumber"":1998,""status"":""Available""},{""copyNumber"":2179,""status"":""Available""},{""copyNumber"":1708,""status"":""Available""}]}]"
Ned Kelly,Culley Southgate,190826346-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6104,""status"":""Borrowed""},{""copyNumber"":6718,""status"":""Borrowed""},{""copyNumber"":8467,""status"":""Borrowed""},{""copyNumber"":2909,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3266,""status"":""Borrowed""},{""copyNumber"":1073,""status"":""Available""},{""copyNumber"":4490,""status"":""Borrowed""},{""copyNumber"":4020,""status"":""Borrowed""},{""copyNumber"":2045,""status"":""Available""}]}]"
Headhunters (Hodejegerne),Penn Androli,193842655-X,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6511,""status"":""Available""}]}]"
"Wild Blue Yonder, The",Devinne Sperry,907027707-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4581,""status"":""Available""},{""copyNumber"":8050,""status"":""Available""},{""copyNumber"":2576,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3268,""status"":""Available""},{""copyNumber"":3616,""status"":""Available""},{""copyNumber"":6733,""status"":""Available""},{""copyNumber"":5447,""status"":""Available""}]}]"
Pastoral Hide and Seek (Den-en ni shisu),Elsbeth Heugh,426670611-1,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4687,""status"":""Available""},{""copyNumber"":9418,""status"":""Available""},{""copyNumber"":8845,""status"":""Borrowed""},{""copyNumber"":3550,""status"":""Borrowed""},{""copyNumber"":7210,""status"":""Available""},{""copyNumber"":3535,""status"":""Available""}]}]"
"Loneliest Planet, The",Lexy Fossitt,559656736-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2884,""status"":""Available""},{""copyNumber"":2346,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7052,""status"":""Available""},{""copyNumber"":2426,""status"":""Borrowed""},{""copyNumber"":7237,""status"":""Available""},{""copyNumber"":4886,""status"":""Available""},{""copyNumber"":9040,""status"":""Available""},{""copyNumber"":8008,""status"":""Available""}]}]"
Hannibal Rising,Annetta Garretson,001038017-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6036,""status"":""Borrowed""},{""copyNumber"":7823,""status"":""Borrowed""},{""copyNumber"":3413,""status"":""Available""},{""copyNumber"":2262,""status"":""Borrowed""},{""copyNumber"":9241,""status"":""Borrowed""},{""copyNumber"":5167,""status"":""Borrowed""}]}]"
Extraterrestrial (Extraterrestre),Jillene Turpin,040466515-2,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5665,""status"":""Borrowed""},{""copyNumber"":2827,""status"":""Available""},{""copyNumber"":4910,""status"":""Borrowed""}]}]"
Cinderella,Martha Newbury,566782464-7,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6636,""status"":""Borrowed""}]}]"
CBGB,Aloysius Skerman,388431781-4,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1086,""status"":""Borrowed""},{""copyNumber"":5868,""status"":""Borrowed""},{""copyNumber"":3968,""status"":""Available""},{""copyNumber"":5048,""status"":""Borrowed""},{""copyNumber"":1680,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7930,""status"":""Borrowed""},{""copyNumber"":7159,""status"":""Borrowed""},{""copyNumber"":7832,""status"":""Borrowed""}]}]"
Embodiment of Evil (Encarnação do Demônio),Cece Avraham,724586832-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9128,""status"":""Borrowed""},{""copyNumber"":4711,""status"":""Available""},{""copyNumber"":2451,""status"":""Borrowed""},{""copyNumber"":3238,""status"":""Borrowed""}]}]"
Hickey and Boggs,Tiphany Iffland,783391394-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8301,""status"":""Available""},{""copyNumber"":1327,""status"":""Available""},{""copyNumber"":3128,""status"":""Borrowed""},{""copyNumber"":5254,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4516,""status"":""Available""},{""copyNumber"":5022,""status"":""Available""},{""copyNumber"":8161,""status"":""Available""},{""copyNumber"":3501,""status"":""Available""},{""copyNumber"":6983,""status"":""Borrowed""},{""copyNumber"":1711,""status"":""Available""}]}]"
"Conjuring, The",Robb Napoli,388337797-X,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4616,""status"":""Borrowed""},{""copyNumber"":7566,""status"":""Available""},{""copyNumber"":3637,""status"":""Available""},{""copyNumber"":5383,""status"":""Borrowed""}]}]"
"O-Bi, O-Ba - The End of Civilization (O-bi, O-ba - Koniec cywilizacji)",Kimberlee Riply,569248639-3,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8507,""status"":""Available""},{""copyNumber"":3027,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5198,""status"":""Borrowed""}]}]"
Frequencies,Dolores Girardet,451511251-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1390,""status"":""Available""},{""copyNumber"":3792,""status"":""Borrowed""},{""copyNumber"":2216,""status"":""Available""},{""copyNumber"":9351,""status"":""Available""}]}]"
Immortal Sergeant,Archer Lounds,784843520-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7295,""status"":""Borrowed""},{""copyNumber"":5424,""status"":""Borrowed""},{""copyNumber"":5124,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4532,""status"":""Available""},{""copyNumber"":5228,""status"":""Borrowed""},{""copyNumber"":4546,""status"":""Available""},{""copyNumber"":7678,""status"":""Borrowed""}]}]"
See the Sea,Thorndike Goede,365641085-2,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3040,""status"":""Available""},{""copyNumber"":8612,""status"":""Available""},{""copyNumber"":7271,""status"":""Available""},{""copyNumber"":4962,""status"":""Borrowed""},{""copyNumber"":8785,""status"":""Available""},{""copyNumber"":2756,""status"":""Available""}]}]"
Cherry 2000,Dido Flott,330377341-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4444,""status"":""Available""},{""copyNumber"":7361,""status"":""Available""},{""copyNumber"":4641,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1706,""status"":""Available""},{""copyNumber"":7337,""status"":""Available""},{""copyNumber"":4464,""status"":""Available""},{""copyNumber"":9802,""status"":""Borrowed""}]}]"
"Happiest Girl in the World, The (Cea mai fericita fata din lume)",Lesli Mutch,245461940-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":6308,""status"":""Borrowed""},{""copyNumber"":6103,""status"":""Available""},{""copyNumber"":1452,""status"":""Available""},{""copyNumber"":9294,""status"":""Available""},{""copyNumber"":9831,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5699,""status"":""Borrowed""},{""copyNumber"":9376,""status"":""Borrowed""}]}]"
Lilting,Reeta Whittock,840431965-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7640,""status"":""Borrowed""},{""copyNumber"":3996,""status"":""Borrowed""},{""copyNumber"":5190,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2673,""status"":""Available""},{""copyNumber"":8871,""status"":""Available""},{""copyNumber"":1648,""status"":""Available""},{""copyNumber"":1414,""status"":""Borrowed""}]}]"
"Factory, The",Zorina Whyman,732840574-0,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6315,""status"":""Borrowed""},{""copyNumber"":5054,""status"":""Borrowed""},{""copyNumber"":3425,""status"":""Available""},{""copyNumber"":7167,""status"":""Available""},{""copyNumber"":8035,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9103,""status"":""Borrowed""},{""copyNumber"":3132,""status"":""Available""},{""copyNumber"":5021,""status"":""Available""},{""copyNumber"":8343,""status"":""Available""}]}]"
Putty Hill,Yovonnda Stilling,622852794-0,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9012,""status"":""Available""},{""copyNumber"":1663,""status"":""Borrowed""},{""copyNumber"":6429,""status"":""Borrowed""},{""copyNumber"":3304,""status"":""Available""}]}]"
"Discovery of Heaven, The",Georgetta Tedorenko,425075042-6,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4969,""status"":""Borrowed""},{""copyNumber"":2035,""status"":""Borrowed""}]}]"
Code Unknown (Code inconnu: Récit incomplet de divers voyages),Veronika Norsworthy,931599455-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5226,""status"":""Available""},{""copyNumber"":6545,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9037,""status"":""Available""},{""copyNumber"":5949,""status"":""Borrowed""},{""copyNumber"":2668,""status"":""Available""}]}]"
The Third Half,Kori Duddle,866158688-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8954,""status"":""Borrowed""},{""copyNumber"":2329,""status"":""Available""},{""copyNumber"":3870,""status"":""Borrowed""}]}]"
The Invitation,Kort Aspinal,466257625-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7450,""status"":""Available""},{""copyNumber"":7690,""status"":""Borrowed""}]}]"
Chattahoochee,Cyndie Streeter,901168416-8,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2573,""status"":""Borrowed""},{""copyNumber"":9872,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5823,""status"":""Borrowed""},{""copyNumber"":7503,""status"":""Borrowed""},{""copyNumber"":4848,""status"":""Available""},{""copyNumber"":5483,""status"":""Available""}]}]"
Good Copy Bad Copy,Ford Cromett,415021452-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7248,""status"":""Borrowed""},{""copyNumber"":1242,""status"":""Borrowed""},{""copyNumber"":1482,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7693,""status"":""Borrowed""}]}]"
Miss Violence,Keith Pirrey,452602263-2,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1294,""status"":""Borrowed""},{""copyNumber"":2454,""status"":""Borrowed""},{""copyNumber"":4784,""status"":""Borrowed""},{""copyNumber"":7775,""status"":""Borrowed""}]}]"
Death Note,Christie Meechan,362673756-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9391,""status"":""Available""},{""copyNumber"":6852,""status"":""Borrowed""}]}]"
Firecreek,Berky Lambdin,794343401-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7340,""status"":""Borrowed""},{""copyNumber"":4273,""status"":""Available""},{""copyNumber"":9319,""status"":""Borrowed""},{""copyNumber"":2021,""status"":""Borrowed""},{""copyNumber"":2096,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7547,""status"":""Borrowed""},{""copyNumber"":5936,""status"":""Borrowed""},{""copyNumber"":2066,""status"":""Available""}]}]"
"Super Cops, The",Ayn Barras,577986402-0,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3466,""status"":""Borrowed""},{""copyNumber"":6167,""status"":""Borrowed""},{""copyNumber"":4361,""status"":""Borrowed""},{""copyNumber"":8394,""status"":""Borrowed""}]}]"
Broken Sky (El cielo dividido),Marwin Buffery,502494359-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9819,""status"":""Borrowed""},{""copyNumber"":9500,""status"":""Borrowed""},{""copyNumber"":6006,""status"":""Available""},{""copyNumber"":6925,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6894,""status"":""Borrowed""},{""copyNumber"":5584,""status"":""Available""}]}]"
Battle in Outer Space,Edlin Linham,881652389-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2084,""status"":""Borrowed""},{""copyNumber"":6984,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5100,""status"":""Available""},{""copyNumber"":8886,""status"":""Available""},{""copyNumber"":6072,""status"":""Available""},{""copyNumber"":8321,""status"":""Borrowed""},{""copyNumber"":2101,""status"":""Available""}]}]"
Formosa Betrayed,Adriane Dronsfield,215856312-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6354,""status"":""Available""},{""copyNumber"":6880,""status"":""Borrowed""},{""copyNumber"":1112,""status"":""Available""},{""copyNumber"":2834,""status"":""Borrowed""},{""copyNumber"":5560,""status"":""Borrowed""},{""copyNumber"":3963,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4096,""status"":""Available""},{""copyNumber"":4708,""status"":""Borrowed""},{""copyNumber"":4924,""status"":""Borrowed""}]}]"
Picture This,Kellen Bercevelo,989344561-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1013,""status"":""Available""},{""copyNumber"":5449,""status"":""Available""},{""copyNumber"":7820,""status"":""Available""},{""copyNumber"":4528,""status"":""Borrowed""},{""copyNumber"":4159,""status"":""Borrowed""}]}]"
